Bandit,Reward,Algorithm
3,2.9784217931061163,EpsilonGreedy
3,4.20939166911412,EpsilonGreedy
3,3.7170862036676557,EpsilonGreedy
3,2.903492287785247,EpsilonGreedy
3,4.643878167019992,EpsilonGreedy
3,4.102916649068172,EpsilonGreedy
3,3.4605111810982474,EpsilonGreedy
3,3.2769117936408123,EpsilonGreedy
3,3.462009221334335,EpsilonGreedy
3,3.058886858598313,EpsilonGreedy
3,2.9711259097587153,EpsilonGreedy
3,3.8276524884051195,EpsilonGreedy
3,3.726041232240501,EpsilonGreedy
3,3.241442258153905,EpsilonGreedy
3,4.286285499513313,EpsilonGreedy
3,2.622275730990948,EpsilonGreedy
3,5.596587705322322,EpsilonGreedy
3,3.1749462645311537,EpsilonGreedy
3,5.04740960802062,EpsilonGreedy
3,4.151928762064503,EpsilonGreedy
3,2.9204572600157777,EpsilonGreedy
3,3.9859412869997404,EpsilonGreedy
3,4.573858903588416,EpsilonGreedy
3,3.0143208444254737,EpsilonGreedy
3,3.31457075447393,EpsilonGreedy
3,4.095286585193448,EpsilonGreedy
3,3.1996459592087616,EpsilonGreedy
3,3.901659430349355,EpsilonGreedy
3,3.60846480928262,EpsilonGreedy
3,3.5049806321488206,EpsilonGreedy
3,2.032250770764314,EpsilonGreedy
3,3.4632890147231534,EpsilonGreedy
3,3.6925386047375923,EpsilonGreedy
3,4.999870176335195,EpsilonGreedy
3,2.661368417712355,EpsilonGreedy
3,5.722852591836146,EpsilonGreedy
3,3.819056115822553,EpsilonGreedy
3,4.098754744351671,EpsilonGreedy
3,5.083027454714573,EpsilonGreedy
3,3.788645421687706,EpsilonGreedy
3,3.9139660204060167,EpsilonGreedy
3,5.416992420499094,EpsilonGreedy
3,4.81044385622992,EpsilonGreedy
3,5.8605865488957605,EpsilonGreedy
3,3.5284323896996277,EpsilonGreedy
3,3.8593397603493433,EpsilonGreedy
3,4.343015123413776,EpsilonGreedy
3,2.5528845206028854,EpsilonGreedy
3,4.297790375340056,EpsilonGreedy
3,1.9417338420048278,EpsilonGreedy
3,6.268013120260341,EpsilonGreedy
3,3.7675441316116722,EpsilonGreedy
3,2.86417701091073,EpsilonGreedy
3,3.0939098343992955,EpsilonGreedy
3,4.620484684751498,EpsilonGreedy
3,3.7240498055245115,EpsilonGreedy
3,3.7062523055133703,EpsilonGreedy
3,3.0534826971984628,EpsilonGreedy
3,5.5168977183149215,EpsilonGreedy
3,5.649133655817592,EpsilonGreedy
3,4.224588661779321,EpsilonGreedy
3,1.480302508263248,EpsilonGreedy
3,4.511614955737116,EpsilonGreedy
3,3.336397359436132,EpsilonGreedy
3,5.857922185322242,EpsilonGreedy
3,5.743024998614292,EpsilonGreedy
3,4.515891602355376,EpsilonGreedy
3,3.3208610055261047,EpsilonGreedy
3,3.7596180019417154,EpsilonGreedy
3,3.237529175866487,EpsilonGreedy
3,4.811341298398041,EpsilonGreedy
3,3.5255739142827274,EpsilonGreedy
3,3.0221053945706013,EpsilonGreedy
3,3.1404983310275414,EpsilonGreedy
3,3.1170570534082964,EpsilonGreedy
3,4.309369286389763,EpsilonGreedy
3,5.783973273080361,EpsilonGreedy
3,4.321377645748333,EpsilonGreedy
3,3.033584846568996,EpsilonGreedy
3,3.755060016942494,EpsilonGreedy
3,4.792563904928899,EpsilonGreedy
3,1.6368273110810123,EpsilonGreedy
3,2.7129273658669657,EpsilonGreedy
3,3.436389212926935,EpsilonGreedy
3,4.684757207043568,EpsilonGreedy
